trip_id,service_id,route_id,trip_headsign,direction_id,block_id
"1","20","0006","6 | Saint-Jacques Morinais","0","1012124"
"10","23","0006","6 | Cesson-Sévigné Base de Loisirs","1","1012876"
"100","23","0006","6 | Cesson-Sévigné Base de Loisirs","1","1012869"
"1000","23","0011","11 | ZI Ouest","0","1012731"
"10000","23","0002","2 | Grand Quartier","1","1012675"
"10001","25","0002","2 | Grand Quartier","1","1054029"
"10002","27","0002","2 | Grand Quartier","1","1045931"
"10003","20","0002","2 | Grand Quartier","1","1011935"
"10004","21","0002","2 | Grand Quartier","1","1004867"
"10005","22","0002","2 | Grand Quartier","1","1012169"
"10006","23","0002","2 | Grand Quartier","1","1012679"
"10007","25","0002","2 | Grand Quartier","1","1054033"
"10008","27","0002","2 | Grand Quartier","1","1045935"
"10009","20","0002","2 | Grand Quartier","1","1011934"
"1001","25","0011","11 | ZI Ouest","0","1054069"
"10010","21","0002","2 | Grand Quartier","1","1004866"
"10011","22","0002","2 | Grand Quartier","1","1012168"
"10012","23","0002","2 | Grand Quartier","1","1012678"
"10013","25","0002","2 | Grand Quartier","1","1054032"
"10014","27","0002","2 | Grand Quartier","1","1045934"
"10015","20","0002","2 | Grand Quartier","1","1011936"
"10016","21","0002","2 | Grand Quartier","1","1004868"
"10017","22","0002","2 | Grand Quartier","1","1012170"
"10018","23","0002","2 | Grand Quartier","1","1012680"
"10019","25","0002","2 | Grand Quartier","1","1054034"
"1002","27","0011","11 | ZI Ouest","0","1045971"
"10020","27","0002","2 | Grand Quartier","1","1045936"
"10021","20","0002","2 | Grand Quartier","1","1011932"
"10022","21","0002","2 | Grand Quartier","1","1004864"
"10023","22","0002","2 | Grand Quartier","1","1012166"
"10024","23","0002","2 | Grand Quartier","1","1012676"
"10025","25","0002","2 | Grand Quartier","1","1054030"
"10026","27","0002","2 | Grand Quartier","1","1045932"
"10027","20","0002","2 | Grand Quartier","1","1011937"
"10028","21","0002","2 | Grand Quartier","1","1004869"
"10029","22","0002","2 | Grand Quartier","1","1012171"
"1003","20","0011","11 | ZI Ouest","0","1011982"
"10030","23","0002","2 | Grand Quartier","1","1012681"
"10031","25","0002","2 | Grand Quartier","1","1054035"
"10032","27","0002","2 | Grand Quartier","1","1045937"
"10033","20","0002","2 | Grand Quartier","1","1011933"
"10034","21","0002","2 | Grand Quartier","1","1004865"
"10035","22","0002","2 | Grand Quartier","1","1012167"
"10036","23","0002","2 | Grand Quartier","1","1012677"
"10037","25","0002","2 | Grand Quartier","1","1054031"
